frame_num,left_ear,right_ear,ear,mar,phi,theta,label,valid
1,0.510629835631287,0.4377005614594918,0.4741651985453894,0.00804868077581148,-30.949876296579937,71.98972729119272,1,1
2,0.5153272048646126,0.4477526768931508,0.4815399408788817,0.008888851235156524,-30.63632834736389,71.91835924630625,1,1
3,0.5123822005526718,0.44811622547140184,0.4802492130120368,0.007856431434339822,-30.61259604011111,71.90732749559658,1,1
4,0.5147879490602172,0.4504540976459381,0.48262102335307766,0.0068716588997933155,-30.63145894419066,71.90559828827372,1,1
5,0.50946139003948,0.44210454742967187,0.47578296873457593,0.006714727395730333,-30.64300077308793,71.89634715606083,1,1
6,0.5060538715449691,0.441257544586497,0.47365570806573304,0.0060642412668144,-30.270571719185995,71.7938294770821,1,1
7,0.5062696757894602,0.4440857563134776,0.4751777160514689,0.004666502362304793,-30.491994944844475,71.84555506347012,1,1
8,0.515860209533476,0.44819787487366386,0.4820290422035699,0.005569172916471809,-29.92429877575452,71.71297062135021,1,1
9,0.5121527598654129,0.4446078915558069,0.47838032571060984,0.005577996547422939,-29.463040045217905,71.5639751228879,1,1
10,0.49642403302005017,0.43936615979389965,0.4678950964069749,0.0051094046577803125,-30.137996431530368,71.76686438623916,1,1
11,0.5141776042782848,0.4476446237185036,0.48091111399839426,0.0058542040711741,-30.239077714897956,71.78768769452957,1,1
12,0.5148328710092366,0.45312935840059393,0.4839811147049152,0.004157459345509854,-29.254873650090893,71.52720187107509,1,1
13,0.49864635982949373,0.4367034358219595,0.4676748978257266,0.007294346878520601,-28.927712979769595,71.4118265950152,1,1
14,0.49872022648957315,0.43564753044667687,0.46718387846812504,0.007020544097497668,-29.28946792075886,71.53531406322709,1,1
15,0.5211073748262696,0.4599102256122996,0.49050880021928456,0.004853677192927582,-26.071343465224533,71.21327657582972,1,1
16,0.5112207627389813,0.4522416535927533,0.48173120816586734,0.005631346522171831,-29.044212636176375,71.46192965339613,1,1
17,0.505486811211697,0.4451217654862105,0.4753042883489538,0.0061043020593909494,-29.99272292602169,71.61028068493856,1,1
18,0.505973365532588,0.4461917246473861,0.47608254508998704,0.006957488071483442,-29.68848849144713,71.51321699688911,1,1
19,0.5257792968215869,0.4581860415880398,0.49198266920481337,0.007850193923108281,-30.114504376629863,71.75314269769625,1,1
20,0.5209450282177834,0.4517619564183663,0.4863534923180749,0.008956317200318725,-29.265320355367408,71.47129120557815,1,1
21,0.5308764582585209,0.4645351551557199,0.4977058067071204,0.007609867679129973,-29.33850028308711,71.49328794075885,1,1
22,0.5137590211689083,0.4544459311875555,0.4841024761782319,0.009063078914863047,-30.36453235385695,71.75497262154545,1,1
23,0.5116479361700077,0.45343447672055254,0.4825412064452801,0.009647896677055363,-29.966229063746376,71.57178808971395,1,1
24,0.5280130681687696,0.46189398780361174,0.49495352798619063,0.00799953767396993,-28.94384925214734,71.43913980406644,1,1
25,0.5012564264916024,0.44709020112460346,0.4741733138081029,0.00864639981981719,-30.71177959517984,71.86479178799861,1,1
26,0.4977437436340123,0.43998147606151644,0.4688626098477644,0.007425073321533042,-30.713067204547343,71.87268497615014,1,1
27,0.4927578850986482,0.44151186464072895,0.4671348748696886,0.008685245384060293,-31.25763198287329,71.79910061195748,1,1
28,0.4804156459518264,0.4166574899635075,0.44853656795766694,0.00826381766918164,-30.570490068361377,71.83154646398442,1,1
29,0.4645531338554553,0.39776125334560924,0.4311571936005323,0.008316957452671856,-133.67796129911474,34.562686543502316,1,1
30,0.42878629293475107,0.36077140630072224,0.3947788496177367,0.0065351538278969196,-134.25297851479849,34.603675825613486,1,1
31,0.4412420403324377,0.3695959414984287,0.4054189909154332,0.006025771630911526,-135.65521775814992,35.39922273887296,1,1
32,0.47171471087028566,0.39278746831444206,0.43225108959236386,0.0066967814536114485,-134.9108591351408,34.91308270449653,1,1
33,0.4785099476631157,0.4136972257292655,0.4461035866961906,0.006551371943912758,-30.618892678116463,71.80599174714422,1,1
34,0.4917655164809849,0.4222677141077911,0.457016615294388,0.007219185608037886,-135.27710894852225,34.88948308100204,1,1
35,0.4842997742606656,0.41955730609517183,0.4519285401779187,0.0077561924232839976,-134.21879539121792,35.27630740116076,1,1
36,0.513161412676494,0.4386049021697116,0.4758831574231028,0.01127038894720399,-134.69066234309904,35.46133984129242,1,1
37,0.49541047539179156,0.43007435623460327,0.4627424158131974,0.011330349974606458,-135.62079895066285,31.82409769712324,1,1
38,0.4947519283439592,0.43095175513081413,0.4628518417373867,0.011114371838643543,-134.37331340936555,34.0891349168652,1,1
39,0.47900299314093553,0.4243241126145458,0.4516635528777406,0.015473914604779166,-134.71735327182844,33.71376915522683,1,1
40,0.49130686978182303,0.43410135537284633,0.4627041125773347,0.022652086101037815,-134.83299979751334,32.042983815237875,1,1
41,0.49149038748161505,0.43017703017337616,0.46083370882749564,0.01969328061284784,-134.4009241594793,34.06044715583305,1,1
42,0.48058333681526655,0.422580072788286,0.4515817048017763,0.05561195536822554,-135.05436437304627,34.409045238627314,1,1
43,0.5085876698800402,0.4426626914823264,0.4756251806811833,0.07122034879192878,-134.11855112566442,34.962160515833325,1,1
44,0.5117205538372486,0.4452058614823929,0.47846320765982076,0.11710800825957512,-134.11110091480174,34.138648440224046,1,1
