frame_num,left_ear,right_ear,ear,mar,phi,theta,label,valid
1,0.44353327840600115,0.34442003939556204,0.3939766589007816,0.2480659413781063,-128.57819894522615,29.239829839458764,1,1
2,0.48312818274634506,0.3603213357711802,0.4217247592587626,0.2682152004178263,-125.01690804012294,26.18253983438054,1,1
3,0.45569864293588747,0.3543928704283859,0.4050457566821367,0.2565884198184309,-124.32475751809262,25.813609011059988,1,1
4,0.46819263352301105,0.3580780384191812,0.4131353359710961,0.26366132059162134,-124.71559252106677,26.385508916057567,1,1
5,0.4663920591258676,0.35378721150360853,0.4100896353147381,0.256623133757005,-124.38290304797098,26.149407912503516,1,1
6,0.476276836401311,0.36574651062712277,0.42101167351421687,0.25712001687577485,-125.810549626588,26.52524058018383,1,1
7,0.46088316855552575,0.355035288504781,0.4079592285301534,0.25392172040256017,-126.54810063747186,27.849838556394854,1,1
8,0.45909042620636115,0.36395266190369135,0.4115215440550263,0.2527989626240123,-125.08784354334877,25.97711692573673,1,1
9,0.4587597528752001,0.3612985020955642,0.4100291274853821,0.2499290457198834,-125.17131723632765,26.071651384356556,1,1
10,0.4537971230543196,0.36062000659391547,0.4072085648241175,0.25110820463634964,-125.88589275820537,27.330566835815915,1,1
11,0.471372219598894,0.36949929465900605,0.42043575712895004,0.24922399940324258,-125.22575063626734,26.30754064760363,1,1
12,0.4672897652382715,0.3609502324088529,0.4141199988235622,0.24114884922145094,-123.45586416620722,25.97056480179502,1,1
13,0.46220435218010847,0.34918603866892606,0.40569519542451726,0.25227093875418627,-121.99782208092573,25.1172010632545,1,1
14,0.46272375827179074,0.35137537363439636,0.40704956595309355,0.2424144121304225,-121.7413683572646,25.37591948805629,1,1
15,0.4702439814750078,0.36903661882620636,0.41964030015060705,0.2345502888424508,-121.39718090432098,24.859714882003765,1,1
16,0.47660009978180445,0.3720086446677725,0.42430437222478845,0.2301421226012937,-121.32905503480477,25.15549861719977,1,1
17,0.48098364245256614,0.37283534086458775,0.42690949165857695,0.22259085779225307,-122.33846504794,25.828699477995293,1,1
18,0.483830944124943,0.3714114174963525,0.4276211808106477,0.21534669654070032,-122.18038170166994,25.437453132413772,1,1
19,0.4837468268264717,0.37061806371252076,0.4271824452694962,0.21527952073271045,-122.25878210843085,25.81980839811072,1,1
20,0.4877799803564843,0.37514879838894605,0.43146438937271514,0.2142948470708805,-122.29428402600298,25.68799767312819,1,1
21,0.4941657420915096,0.37391816733916405,0.4340419547153368,0.214392485164342,-121.49830010830802,25.337701903649013,1,1
22,0.4682123114669739,0.3620676765948053,0.41513999403088964,0.23005464163678516,-122.1904044017985,26.025905184239303,1,1
23,0.4392491328190942,0.3293340607916303,0.3842915968053623,0.2230653909205581,-122.38528397285458,26.439676113421594,1,1
24,0.4154963961996504,0.3107486868889299,0.36312254154429013,0.229727823910656,-121.45630007846769,25.484134382390746,1,1
25,0.4293566226252425,0.29990257650277496,0.36462959956400876,0.24738768596965804,-124.52072003785673,27.68103858431963,1,1
26,0.4435924592113924,0.2800675321302364,0.3618299956708144,0.25976376850088245,-121.63758617489884,25.58417305777356,1,1
27,0.4399384594413213,0.2853260415789797,0.3626322505101505,0.27605707148750425,-122.51923148974745,27.14140419772584,1,1
28,0.42358770652903194,0.2586143235792112,0.3411010150541216,0.2695949731342483,-120.84419599797418,25.051606756247367,1,1
29,0.4664733284184715,0.2976822552422305,0.382077791830351,0.24039535253178454,-121.0330102646112,25.48824013992149,1,1
30,0.43943080951436636,0.23847532619078518,0.3389530678525758,0.24769398947422064,-119.53712875189174,24.020788230089025,1,1
31,0.47438281819636463,0.24465331069132495,0.3595180644438448,0.260675114240487,-117.82757482150076,23.153157432692137,1,1
32,0.4762453304057849,0.2531747141035653,0.3647100222546751,0.3024893679719463,-118.40569560130919,23.111932956942013,1,1
33,0.4789680242533698,0.23464420499430588,0.3568061146238378,0.31389425112469227,-117.22132463237969,21.693232249841124,1,1
34,0.5498174166597802,0.27715750355172464,0.41348746010575244,0.33308883184645466,-115.22363407373518,19.68426645531274,1,1
35,0.5781837261756974,0.264883132735755,0.42153342945572614,0.4311551888271516,-115.38135241674253,19.147732356618043,1,1
36,0.5922983737530794,0.2611792816272379,0.42673882769015864,0.44605815979148594,-115.5513024122128,20.115147779730584,1,1
37,0.5842243420133887,0.28163200402672234,0.4329281730200555,0.4787025178835182,-113.30264939459045,19.306299268767237,1,1
38,0.663790810900401,0.2871960109639572,0.4754934109321791,0.41108081865193097,-111.94077710380058,18.681200411663944,1,1
39,0.6884187766461031,0.3571046076575999,0.5227616921518514,0.21554787501135292,-111.31175430896802,18.0272783735057,1,1
40,0.708930036446287,0.35003963858564063,0.5294848375159639,0.1360137996137517,-110.26414786717883,16.65885519745951,1,1
41,0.7629670680518879,0.35677189280552907,0.5598694804287084,0.09634019285249831,-107.56911623628052,14.133523257048836,1,1
42,0.6932763299113163,0.3675174316493085,0.5303968807803123,0.024606503971384794,-108.19250059906707,14.39649614083709,1,1
43,0.6727992182730629,0.37073605269332444,0.5217676354831937,0.04970375038685095,-108.02561440632661,14.74310797160026,1,1
44,0.7252490456693809,0.36479929502328756,0.5450241703463342,0.05108000704540183,-108.38409140078751,15.128444045431214,1,1
45,0.6955225004080154,0.3501223284037302,0.5228224144058728,0.26163392956293025,-108.48012587278508,15.140761784524091,1,1
46,0.6366386778137947,0.3255583139943875,0.4810984959040911,0.25007706738316926,-108.88654993633702,15.459042829200657,1,1
47,0.6546637434458559,0.3462276758645622,0.5004457096552091,0.21552502251587075,-110.61236150444644,16.531366755555045,1,1
48,0.6165311571685642,0.29076667013275015,0.4536489136506572,0.3321405254238377,-111.47899493897208,17.389174258394107,1,1
49,0.6512104816346187,0.32365351334890413,0.4874319974917614,0.311544262280619,-109.95412511268006,15.363582740761426,1,1
50,0.6596349857568387,0.3311587974565985,0.49539689160671857,0.2823912423365458,-110.8104348903846,16.454211795426847,1,1
51,0.5472990907713184,0.27522116628168625,0.41126012852650234,0.17458147330354779,-111.13358953488759,17.777943351110444,1,1
52,0.46193358492349396,0.24185161763235238,0.35189260127792316,0.2008281745426147,-114.32578769891262,20.898867647389896,1,1
53,0.4830822202464066,0.2551905352567264,0.3691363777515665,0.09679931174573855,-117.73250196845368,24.153649877550606,1,1
54,0.40315435766628277,0.2678148608784208,0.3354846092723518,0.11287757845105986,-118.26421543752282,24.631367940892282,1,1
55,0.3914412947944472,0.31957526374999407,0.3555082792722206,0.06421458867108769,-118.27584125537622,24.473616973592158,1,1
56,0.4346721119999616,0.34195104786951824,0.3883115799347399,0.11078141591281646,-121.78764694049674,26.89614485007963,1,1
57,0.4162702897779297,0.3552481119796145,0.3857592008787721,0.06544995212556637,-120.85214135351357,26.3676514215542,1,1
58,0.4524192707003619,0.3764340108207745,0.41442664076056823,0.10049870941430367,-121.19344656274738,26.61175418600178,1,1
59,0.4639127372219958,0.3767448555026063,0.420328796362301,0.11102558169437429,-121.58054823082934,26.92483850257724,1,1
60,0.44853608341405,0.3657258707840744,0.4071309770990622,0.13905925032919017,-120.32975360738993,26.175106756360837,1,1
61,0.4628314471589394,0.3631824868846867,0.41300696702181305,0.11014135985788,-120.7257785584754,25.78985842414517,1,1
62,0.46702395981907074,0.3712088021673906,0.4191163809932307,0.17445498282533653,-120.16107205182205,25.49886272714726,1,1
63,0.4778586366244765,0.38095922921129394,0.4294089329178852,0.2378131964249868,-119.84633443345659,25.082667032310816,1,1
64,0.4748385211877498,0.3802214331458454,0.4275299771667976,0.23530110326994677,-120.34222500562512,25.589798135686713,1,1
65,0.4677592301144074,0.37668872129890973,0.4222239757066586,0.2436343306858264,-121.07994083702741,26.409206007646738,1,1
66,0.4677501916860587,0.3786513269640663,0.4232007593250625,0.24540919334462752,-120.8233469992893,26.26605156686558,1,1
67,0.4644940383647921,0.38328361990291776,0.42388882913385495,0.26363153100411785,-120.61269630779337,25.989386515715005,1,1
68,0.4643470216624443,0.3764844973293527,0.4204157594958985,0.2608709924490838,-120.61226860160598,25.45171081284778,1,1
69,0.47314527655310756,0.38228173387718245,0.427713505215145,0.24021502268683095,-120.5754958037924,25.62325938585716,1,1
70,0.484502458262998,0.3885155407286731,0.43650899949583555,0.12453742110867447,-121.16193265353004,26.224747119031964,1,1
71,0.4723027913378819,0.3887854331080482,0.43054411222296507,0.0671386011030907,-121.51381323518778,26.945744588143878,1,1
72,0.4755200545862411,0.390776952874831,0.43314850373053604,0.05235296441924847,-120.38138295889145,25.956692895010306,1,1
73,0.4361642551588946,0.3470180505636488,0.3915911528612717,0.05080923790960715,-121.40101162363007,26.915058522331268,1,1
74,0.42321349471936015,0.3194206577621048,0.3713170762407325,0.09237473906455412,-123.02840853269616,28.59818087823161,1,1
75,0.4558326783431712,0.3405768427941359,0.39820476056865356,0.15915582436887707,-124.45406828095155,29.214217338990807,1,1
76,0.43815451602277394,0.34182674085446696,0.3899906284386204,0.173004431203614,-126.07466103865613,30.678750745380484,1,1
77,0.3956281502125885,0.3351377697088618,0.3653829599607251,0.12928415010051042,-126.71793818437183,31.72107658236865,1,1
78,0.4031603334969885,0.3551066503866677,0.3791334919418281,0.16626971770331744,-127.24354202555159,31.220156970425002,1,1
79,0.40143868668409083,0.36329623546194456,0.38236746107301767,0.2027660327626427,-124.19324120229953,30.361260813127195,1,1
80,0.40040720063379737,0.3722201694716611,0.3863136850527292,0.20719509033340053,-125.29394327705434,29.807862021949298,1,1
81,0.39126858970152034,0.37169965723526743,0.3814841234683939,0.19860176485645603,-125.34810870608422,30.352984956198963,1,1
82,0.4047138857324543,0.3876053622480706,0.39615962399026244,0.18609074190249977,-125.47470281452357,29.954031963679558,1,1
