frame_num,left_ear,right_ear,ear,mar,phi,theta,label,valid
1,0.43298649880318374,0.3803725844372939,0.4066795416202388,0.12842612899319106,-133.60342634023377,22.71361079290592,1,1
2,0.4312087109279269,0.37955896284371854,0.4053838368858227,0.11388763037542943,-133.67843291181302,22.662741916788637,1,1
3,0.42058233601377987,0.38189467494792356,0.4012385054808517,0.12252393984514193,-133.16403263979578,22.292956671089225,1,1
4,0.40635130465226577,0.38122824172902625,0.393789773190646,0.12046717477816411,-132.6744855479612,21.94253766153668,1,1
5,0.4268618324352164,0.39641098944122105,0.41163641093821873,0.1364961967614206,-132.33852925047205,21.358480231954744,1,1
6,0.4335161857381844,0.40177040769311767,0.41764329671565104,0.12720513056837277,-132.53525237142907,21.75970083741535,1,1
7,0.4283116278307244,0.3988424520458313,0.4135770399382779,0.12369196815689443,-132.52237157467943,21.741390634617943,1,1
8,0.42744667320714574,0.4014547078659792,0.41445069053656247,0.125388564271102,-132.32174927262906,21.502779009959788,1,1
9,0.42740110560849365,0.40538846007436236,0.416394782841428,0.12489535647739601,-132.45157887688111,21.819070740634732,1,1
10,0.42626156465908616,0.4047970198749385,0.4155292922670123,0.1294066333899239,-132.45925258677988,21.757925610244946,1,1
11,0.4257197433074681,0.4041259916713952,0.41492286748943163,0.13320790800004625,-132.29031399676728,21.649413632594662,1,1
12,0.4412970613887928,0.40727200830636745,0.4242845348475801,0.12441018338374946,-132.3084405474914,21.756498063508023,1,1
13,0.41987851689273203,0.39339458094054097,0.4066365489166365,0.11770251096516682,-132.6563753660466,22.025659243580144,1,1
14,0.439268511653465,0.40938714107989566,0.4243278263666803,0.12782079865264925,-132.18409764407497,21.86906228250037,1,1
15,0.438207450438005,0.41119218996787543,0.4246998202029402,0.13456404559648655,-131.98985343897118,21.674635540348334,1,1
16,0.4371421240725743,0.4161958836689597,0.426669003870767,0.128851506742916,-131.99988266284916,21.558484179444587,1,1
17,0.42992804217163455,0.41032266214456153,0.42012535215809804,0.12633361272186705,-132.28597430891017,21.700812730276358,1,1
18,0.43078902212296755,0.4088927582026662,0.4198408901628169,0.12102142330402486,-132.2990832735221,21.822251853476576,1,1
19,0.4296459017940384,0.4106013288850272,0.4201236153395328,0.12041205416417065,-132.55342253056523,21.937238309212542,1,1
20,0.43005011145907646,0.4077863305056039,0.4189182209823402,0.13019820196200368,-132.3081019930479,21.74576664134005,1,1
21,0.4270283162048178,0.4099615029357764,0.4184949095702971,0.12577527882014658,-132.0595042594951,21.479339888810486,1,1
22,0.4217784827547307,0.39213878002018887,0.4069586313874598,0.1263462937988914,-131.98041857699826,21.410210578887895,1,1
23,0.4383617191711336,0.4074299075344154,0.4228958133527745,0.12953257431080456,-132.09271625464024,21.656081542744825,1,1
